EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,1629,1,80,-2,5,1
1,1645,1,80,-2,5,2
1,1647,1,80,-2,5,1
1,1649,1,80,-2,5,1
1,1675,1,80,-2,5,1
1,1696,1,80,-2,5,2
1,1699,1,80,-2,5,2
1,1711,1,80,-2,5,4
1,1722,1,80,-2,5,2
1,1729,1,80,-2,5,1
1,1738,1,80,-2,5,1
1,1747,1,80,-2,5,1
1,1755,1,80,-2,5,1
1,1759,1,80,-2,5,1
1,1767,1,80,-2,5,2
1,1773,1,80,-2,5,1
1,1782,1,80,-2,5,1
1,1793,1,80,-2,5,2
1,1803,1,80,-2,5,5
1,1814,1,80,-2,5,1
1,1823,1,80,-2,5,1
1,1827,1,80,-2,5,4
1,1836,1,80,-2,5,4
1,1843,1,80,-2,5,1
1,1869,1,80,-2,5,3
1,1877,1,80,-2,5,1
1,1888,1,80,-2,5,1
1,1908,1,80,-2,5,3
1,1916,1,80,-2,5,2
1,1925,1,80,-2,5,1
1,1926,1,80,-2,5,1
1,1942,1,80,-2,5,1
1,1966,1,80,-2,5,3
1,1974,1,80,-2,5,1
1,1983,1,80,-2,5,1
1,2000,1,80,-2,5,1
1,2005,1,80,-2,5,1
1,2009,1,80,-2,5,1
1,2038,1,80,-2,5,1
1,2051,1,80,-2,5,1
1,2055,1,80,-2,5,1
1,2064,1,80,-2,5,1
1,2079,1,80,-2,5,1
1,2084,1,80,-2,5,1
1,2111,1,80,-2,5,3
1,2115,1,80,-2,5,4
1,2125,1,80,-2,5,2
1,2127,1,80,-2,5,1
1,2143,1,80,-2,5,2
1,6,2,80,-2,5,3
1,8,2,80,-2,5,4
1,13,2,80,-2,5,1
1,19,2,80,-2,5,6
1,27,2,80,-2,5,1
1,28,2,80,-2,5,1
1,41,2,80,-2,5,1
1,54,2,80,-2,5,3
1,64,2,80,-2,5,6
1,65,2,80,-2,5,3
1,67,2,80,-2,5,2
1,68,2,80,-2,5,1
1,70,2,80,-2,5,4
1,80,2,80,-2,5,2
1,82,2,80,-2,5,4
1,85,2,80,-2,5,1
1,114,2,80,-2,5,6
1,115,2,80,-2,5,1
1,123,2,80,-2,5,1
1,124,2,80,-2,5,0
1,128,2,80,-2,5,1
1,131,2,80,-2,5,3
1,138,2,80,-2,5,2
1,144,2,80,-2,5,1
1,146,2,80,-2,5,2
1,166,2,80,-2,5,2
1,188,2,80,-2,5,2
1,190,2,80,-2,5,2
1,197,2,80,-2,5,1
1,213,2,80,-2,5,5
1,218,2,80,-2,5,1
1,232,2,80,-2,5,2
1,236,2,80,-2,5,0
1,258,2,80,-2,5,1
1,281,2,80,-2,5,1
1,299,2,80,-2,5,1
1,304,2,80,-2,5,0
1,314,2,80,-2,5,3
1,316,2,80,-2,5,2
1,329,2,80,-2,5,3
1,343,2,80,-2,5,1
1,353,2,80,-2,5,3
1,355,2,80,-2,5,1
1,360,2,80,-2,5,1
1,363,2,80,-2,5,1
1,375,2,80,-2,5,1
1,379,2,80,-2,5,1
1,396,2,80,-2,5,2
1,401,2,80,-2,5,1
1,420,2,80,-2,5,2
1,421,2,80,-2,5,3
1,433,2,80,-2,5,2
1,436,2,80,-2,5,2
1,443,2,80,-2,5,2
1,446,2,80,-2,5,2
1,449,2,80,-2,5,1
1,464,2,80,-2,5,1
1,467,2,80,-2,5,3
1,475,2,80,-2,5,3
1,492,2,80,-2,5,1
1,493,2,80,-2,5,1
1,500,2,80,-2,5,7
1,503,2,80,-2,5,4
1,506,2,80,-2,5,2
1,510,2,80,-2,5,2
1,523,2,80,-2,5,1
1,529,2,80,-2,5,1
1,538,2,80,-2,5,3
1,547,2,80,-2,5,2
1,554,2,80,-2,5,3
1,578,2,80,-2,5,2
1,582,2,80,-2,5,4
1,583,2,80,-2,5,2
1,599,2,80,-2,5,4
1,604,2,80,-2,5,6
1,607,2,80,-2,5,3
1,616,2,80,-2,5,5
1,625,2,80,-2,5,1
1,647,2,80,-2,5,1
1,655,2,80,-2,5,2
1,659,2,80,-2,5,2
1,671,2,80,-2,5,4
1,672,2,80,-2,5,3
1,676,2,80,-2,5,1
1,690,2,80,-2,5,3
1,701,2,80,-2,5,1
1,703,2,80,-2,5,3
1,704,2,80,-2,5,3
1,714,2,80,-2,5,1
1,720,2,80,-2,5,2
1,722,2,80,-2,5,2
1,744,2,80,-2,5,4
1,746,2,80,-2,5,1
1,759,2,80,-2,5,3
1,761,2,80,-2,5,3
1,762,2,80,-2,5,2
1,767,2,80,-2,5,1
1,768,2,80,-2,5,2
1,772,2,80,-2,5,1
1,773,2,80,-2,5,2
1,782,2,80,-2,5,2
1,784,2,80,-2,5,2
1,809,2,80,-2,5,1
1,811,2,80,-2,5,1
1,820,2,80,-2,5,3
1,823,2,80,-2,5,1
1,832,2,80,-2,5,1
1,835,2,80,-2,5,7
1,848,2,80,-2,5,2
1,851,2,80,-2,5,5
1,855,2,80,-2,5,3
1,862,2,80,-2,5,1
1,863,2,80,-2,5,3
1,885,2,80,-2,5,1
1,889,2,80,-2,5,2
1,893,2,80,-2,5,2
1,901,2,80,-2,5,2
1,908,2,80,-2,5,0
1,913,2,80,-2,5,2
1,930,2,80,-2,5,1
1,935,2,80,-2,5,1
1,943,2,80,-2,5,2
1,955,2,80,-2,5,1
1,971,2,80,-2,5,2
1,977,2,80,-2,5,5
1,988,2,80,-2,5,7
1,990,2,80,-2,5,3
1,1007,2,80,-2,5,1
1,1021,2,80,-2,5,5
1,1023,2,80,-2,5,1
1,1028,2,80,-2,5,2
1,1031,2,80,-2,5,1
1,1051,2,80,-2,5,1
1,1061,2,80,-2,5,3
1,1063,2,80,-2,5,0
1,1068,2,80,-2,5,1
1,1074,2,80,-2,5,3
1,1079,2,80,-2,5,1
1,1094,2,80,-2,5,2
1,1097,2,80,-2,5,2
1,1116,2,80,-2,5,2
1,1118,2,80,-2,5,1
1,1123,2,80,-2,5,3
1,1126,2,80,-2,5,3
1,1138,2,80,-2,5,3
1,1149,2,80,-2,5,6
1,1150,2,80,-2,5,1
1,1168,2,80,-2,5,1
1,1172,2,80,-2,5,7
1,1180,2,80,-2,5,3
1,1181,2,80,-2,5,1
1,1184,2,80,-2,5,1
1,1194,2,80,-2,5,2
1,1195,2,80,-2,5,5
1,1198,2,80,-2,5,2
1,1205,2,80,-2,5,1
1,1211,2,80,-2,5,5
1,1216,2,80,-2,5,2
1,1227,2,80,-2,5,1
1,1234,2,80,-2,5,1
1,1235,2,80,-2,5,1
1,1245,2,80,-2,5,1
1,1260,2,80,-2,5,1
1,1263,2,80,-2,5,3
1,1269,2,80,-2,5,4
1,1290,2,80,-2,5,3
1,1298,2,80,-2,5,2
1,1303,2,80,-2,5,1
1,1308,2,80,-2,5,1
1,1321,2,80,-2,5,1
1,1329,2,80,-2,5,1
1,1345,2,80,-2,5,1
1,1347,2,80,-2,5,2
1,1352,2,80,-2,5,5
1,1358,2,80,-2,5,1
1,1374,2,80,-2,5,1
1,1379,2,80,-2,5,2
1,1385,2,80,-2,5,1
1,1391,2,80,-2,5,1
1,1401,2,80,-2,5,3
1,1412,2,80,-2,5,1
1,1432,2,80,-2,5,1
1,1441,2,80,-2,5,2
1,1446,2,80,-2,5,3
1,1457,2,80,-2,5,5
1,1464,2,80,-2,5,1
1,1473,2,80,-2,5,1
1,1497,2,80,-2,5,2
1,1515,2,80,-2,5,4
1,1525,2,80,-2,5,1
1,1532,2,80,-2,5,1
1,1536,2,80,-2,5,2
1,1539,2,80,-2,5,2
1,1555,2,80,-2,5,1
1,1563,2,80,-2,5,8
1,1566,2,80,-2,5,1
1,1576,2,80,-2,5,3
1,1578,2,80,-2,5,2
1,1586,2,80,-2,5,1
1,1589,2,80,-2,5,1
1,1594,2,80,-2,5,3
1,1601,2,80,-2,5,4
1,1613,2,80,-2,5,1
1,1618,2,80,-2,5,3
1,1629,2,80,-2,5,1
1,1645,2,80,-2,5,2
1,1647,2,80,-2,5,1
1,1649,2,80,-2,5,1
1,1675,2,80,-2,5,1
1,1696,2,80,-2,5,2
1,1699,2,80,-2,5,1
1,1711,2,80,-2,5,4
1,1722,2,80,-2,5,2
1,1729,2,80,-2,5,1
1,1738,2,80,-2,5,1
1,1747,2,80,-2,5,1
1,1755,2,80,-2,5,1
1,1759,2,80,-2,5,1
1,1767,2,80,-2,5,2
1,1773,2,80,-2,5,1
1,1782,2,80,-2,5,1
1,1793,2,80,-2,5,2
1,1803,2,80,-2,5,5
1,1814,2,80,-2,5,1
1,1823,2,80,-2,5,2
1,1827,2,80,-2,5,4
1,1836,2,80,-2,5,4
1,1843,2,80,-2,5,1
1,1869,2,80,-2,5,3
1,1877,2,80,-2,5,1
1,1888,2,80,-2,5,1
1,1908,2,80,-2,5,2
1,1916,2,80,-2,5,2
1,1925,2,80,-2,5,1
1,1926,2,80,-2,5,2
1,1942,2,80,-2,5,1
